GEOID,NAME,tot.popE_13,tot.popM_13,med.incE_13,med.incM_13,giniE_13,giniM_13,less.hsE_13,less.hsM_13,hs.degE_13,hs.degM_13,some.colE_13,some.colM_13,ba.degE_13,ba.degM_13,grad.degE_13,grad.degM_13,tot.degE_13,tot.degM_13,tot.popE_18,tot.popM_18,med.incE_18,med.incM_18,giniE_18,giniM_18,less.hsE_18,less.hsM_18,hs.degE_18,hs.degM_18,some.colE_18,some.colM_18,ba.degE_18,ba.degM_18,grad.degE_18,grad.degM_18,tot.degE_18,tot.degM_18,ADJ_med.inc_13
4850920,"New Fairview city, Texas",1102,258,54135,9704,0.2856,0.0357,118,63,375,125,191,54,16,10,8,14,708,153,1273,266,67500,13429,0.3756,0.0454,105,36,391,108,275,64,52,28,22,19,845,158,58358.9650888869
4811428,"Burleson city, Texas",38165,47,67701,4219,0.3647,0.0187,1674,340,7451,626,9097,619,3950,495,1734,334,23906,588,44629,46,77342,3550,0.3695,0.0195,2010,328,8254,679,10882,699,5044,559,2412,423,28602,566,72983.4727160383
4815364,"Cleburne city, Texas",29677,47,47278,3352,0.3932,0.0154,4041,414,5847,506,5388,460,1997,253,692,148,17965,597,29878,40,50253,2839,0.431,0.0229,3886,517,6808,539,5377,496,2139,309,953,179,19163,553,50966.9373136122
4838548,"Keene city, Texas",6085,28,37257,7260,0.4621,0.0344,602,222,1025,278,1200,206,544,147,171,79,3542,324,6339,33,47993,9358,0.4177,0.0396,629,180,907,180,1045,180,691,140,199,85,3471,221,40164.0336624487
4846452,"Mansfield city, Texas",57529,507,94112,4697,0.4033,0.0249,2239,341,6928,676,11573,672,9915,670,4714,549,35369,681,67492,627,96253,3311,0.3796,0.014,2506,409,7743,655,14809,767,11640,718,5643,564,42341,783,101455.23085703
4875236,"Venus town, Texas",3047,71,56625,7464,0.3685,0.0447,529,109,793,116,634,154,216,81,56,40,2228,167,3488,52,60714,8332,0.3551,0.0429,417,93,976,135,727,132,258,78,59,28,2437,110,61043.2510974087
4830512,"Grandview city, Texas",1323,377,34559,15561,0.4191,0.0593,271,97,248,95,263,94,73,41,36,32,891,230,2203,489,43500,5362,0.4095,0.0484,235,109,500,117,415,144,112,54,66,40,1328,268,37255.518139962
4833824,"Highland Park town, Texas",8706,34,191422,32230,0.5456,0.026,105,58,193,73,642,130,2673,280,2318,257,5931,211,9145,22,207019,30756,0.5526,0.0226,86,48,118,56,785,139,3013,229,2489,225,6491,195,206357.99049127
4826604,"Forney city, Texas",15356,30,77121,12925,0.3553,0.0343,523,174,2694,438,3500,460,1642,268,845,204,9204,313,19366,34,92851,11009,0.3135,0.02,762,234,3287,429,4153,526,2405,408,1039,276,11646,417,83138.4824350244
4808872,"Blue Ridge city, Texas",1007,288,45184,4241,0.3394,0.0502,92,55,260,84,242,90,32,22,3,4,629,160,1012,240,50179,10272,0.4918,0.1108,154,71,211,75,149,48,22,19,17,18,553,125,48709.5498028312
4813684,"Celina city, Texas",6387,140,88789,10418,0.4077,0.0829,203,149,1048,273,1475,309,1014,256,290,142,4030,241,9354,20,112176,19662,0.4604,0.0982,169,98,983,317,1986,343,1972,340,622,233,5732,311,95716.8957472463
4841800,"Lavon city, Texas",2726,449,69841,9288,0.316,0.0374,69,53,478,126,643,172,381,83,113,41,1684,247,3061,29,86583,8223,0.2908,0.0306,52,27,427,79,797,112,431,68,162,42,1869,102,75290.4494462538
4847496,"Melissa city, Texas",5213,20,90556,18049,0.3324,0.0472,246,114,499,255,1036,298,647,240,394,170,2822,218,8492,32,113532,19521,0.3259,0.0587,215,219,1129,364,2133,621,1060,314,587,276,5124,498,97621.7685894383
4838068,"Josephine city, Texas",670,173,78958,25577,0.3206,0.0554,49,27,169,53,133,58,77,51,8,11,436,108,1243,209,57167,13238,0.3222,0.0377,101,52,388,103,264,64,94,52,31,19,878,144,85118.8171328776
4848858,"Mobile City city, Texas",211,110,27656,9084,0.384,0.0633,77,67,43,29,26,18,3,6,0,13,149,74,134,52,26042,17396,0.4002,0.08,19,12,15,12,40,24,3,5,0,13,77,27,29813.9011452527
4845804,"McLendon-Chisholm city, Texas",2301,606,109015,3600,0.3363,0.0694,38,33,536,331,519,144,251,84,184,72,1528,377,2589,36,131964,24470,0.3791,0.0432,42,27,391,110,473,113,484,97,260,74,1650,124,117521.059927311
4817648,"Cresson city, Texas",655,192,67778,23323,0.5335,0.1238,37,24,155,69,151,47,106,56,16,12,465,110,864,253,68472,14664,0.4422,0.0774,85,58,191,69,207,52,91,31,31,14,605,129,73066.4807572656
4859748,"Providence Village town, Texas",4876,462,85599,4717,0.2462,0.0305,82,61,514,205,805,189,1084,329,376,136,2861,291,7053,37,91645,8430,0.3012,0.0349,139,112,876,215,1564,292,1136,214,378,164,4093,237,92277.9911821119
4873592,"Trenton city, Texas",771,149,41058,17080,0.4369,0.0802,94,59,220,83,168,58,57,43,21,16,560,123,789,133,58750,10363,0.372,0.0656,106,50,198,52,161,42,45,21,16,13,526,83,44261.6124248549
4874756,"Valley View city, Texas",916,209,55625,26738,0.3945,0.0537,73,38,244,88,191,58,71,37,9,8,588,135,944,202,70357,13316,0.4242,0.087,131,63,135,37,213,55,77,41,35,18,591,120,59965.2245879622
4831616,"Gunter city, Texas",1535,336,62344,13015,0.4087,0.0556,211,136,226,146,304,94,151,58,110,44,1002,244,1189,239,71406,13179,0.3801,0.0473,115,76,218,87,230,62,190,60,50,30,803,163,67208.4847049333
4817429,"Coyote Flats city, Texas",283,151,50769,25973,0.3898,0.0976,28,27,110,91,54,33,39,35,16,23,247,147,342,106,51250,14088,0.4134,0.0774,36,23,83,36,77,31,28,18,17,15,241,63,54730.3278580899
4825752,"Ferris city, Texas",2625,438,45823,6869,0.4328,0.042,504,129,455,124,368,111,137,62,58,45,1522,234,2612,42,58477,7415,0.3914,0.059,466,121,446,118,424,101,113,48,77,51,1526,141,49398.4087423675
4829000,"Garland city, Texas",230177,237,51842,1043,0.3988,0.0071,33035,1236,35040,1325,43110,1509,21425,886,8889,665,141499,1394,237982,160,58999,1343,0.4093,0.0106,35687,1622,35860,1647,44625,1298,23982,1038,10379,769,150533,1706,55887.050302726
4854444,"Ovilla city, Texas",3554,188,89167,23763,0.3506,0.0397,111,75,488,142,890,187,547,162,336,143,2372,223,3800,109,99103,28174,0.3235,0.0505,117,91,519,168,1029,214,820,188,258,96,2743,216,96124.3897678171
4880356,"Wylie city, Texas",42384,438,80632,5675,0.3234,0.0213,1719,354,6016,654,9034,878,7080,675,1846,425,25695,772,49248,776,93637,6296,0.318,0.0165,2326,468,6876,717,9752,727,7727,838,2981,521,29662,664,86923.4335096911
4825224,"Fairview town, Texas",7592,32,76552,16763,0.5183,0.0625,119,91,809,260,1538,380,2518,384,823,217,5807,339,8665,24,92159,16675,0.4882,0.061,63,58,555,220,1634,302,2852,307,1389,304,6493,339,82525.0853511493
4844308,"Lowry Crossing city, Texas",1758,332,84875,17470,0.3222,0.0426,84,42,355,94,454,113,226,69,68,28,1187,202,1502,268,94471,9317,0.4753,0.1198,43,29,306,65,392,86,284,74,70,30,1095,185,91497.4999892726
4845012,"Lucas city, Texas",5607,24,118239,27603,0.5063,0.055,123,138,476,175,1074,239,1237,293,638,151,3548,283,7217,73,173750,24628,0.458,0.0544,164,83,663,215,1371,252,1669,251,652,169,4519,214,127464.776450446
4803300,"Anna city, Texas",8528,24,68297,12302,0.3459,0.0424,744,315,1409,320,1922,409,800,221,461,196,5336,370,12271,20,88065,13381,0.2731,0.0442,1025,590,2036,587,2163,405,1195,460,763,421,7182,368,73625.9765156684
4805168,"Azle city, Texas",10752,343,55478,4926,0.4689,0.063,1065,287,1951,249,3007,322,1101,233,516,172,7640,448,12149,356,65295,5143,0.4097,0.0437,729,215,2925,417,2995,526,1180,228,634,188,8463,377,59806.7546910736
4876672,"Watauga city, Texas",23798,32,58864,2447,0.3422,0.025,1881,349,4295,435,6080,476,2186,309,544,135,14986,406,24526,55,70800,3026,0.3438,0.023,1881,348,4621,434,5714,439,2144,367,813,213,15173,463,63456.9524520594
4878076,"Westworth Village city, Texas",2500,42,48036,4969,0.4384,0.062,220,56,410,111,645,106,370,89,80,38,1725,77,2653,32,56875,5254,0.5142,0.059,180,75,370,92,680,107,407,92,160,49,1797,88,51784.0814077726
4864112,"Saginaw city, Texas",20347,37,73696,5165,0.3671,0.052,961,300,4263,548,4849,499,1755,291,642,181,12470,538,22873,31,79625,3251,0.3376,0.0367,1566,390,4676,512,5074,497,2486,402,988,280,14790,439,79446.2416401701
4855152,"Parker city, Texas",3868,24,125703,11974,0.4107,0.0528,190,126,177,65,593,168,961,194,553,149,2474,233,4534,40,137714,14347,0.4536,0.0446,403,245,422,140,616,195,914,191,525,149,2880,209,135511.166316955
4863668,"Royse City city, Texas",9485,304,65213,8956,0.3484,0.0348,486,155,1842,294,1712,269,729,171,367,153,5136,362,11746,279,78200,11046,0.3716,0.0364,906,268,1815,353,2754,377,1213,328,468,193,7156,453,70301.3427605353
4874924,"Van Alstyne city, Texas",3047,31,51029,9036,0.4301,0.0761,178,79,710,203,722,174,218,77,180,99,2008,182,3682,21,63393,17839,0.333,0.0433,164,97,967,235,851,203,213,98,113,66,2308,220,55010.614750546
4877740,"Weston city, Texas",708,234,70714,29852,0.3315,0.0471,65,65,150,71,149,68,73,46,10,13,447,133,305,103,85000,55194,0.4425,0.0914,25,20,113,52,37,19,50,30,2,4,227,70,76231.5665890006
4838632,"Keller city, Texas",40872,39,113618,5617,0.394,0.017,832,260,3459,445,7707,572,9858,681,4466,544,26322,573,46175,88,133266,4991,0.415,0.0165,1234,362,4065,514,7819,522,11252,588,5910,532,30280,536,122483.215950294
4865408,"Sanger city, Texas",7091,35,50288,7350,0.3779,0.0341,298,122,1470,250,1545,215,507,143,101,61,3921,234,8023,27,62606,4647,0.402,0.0586,797,236,1737,255,1576,276,803,139,277,113,5190,273,54211.7971070462
4853130,"Oak Point city, Texas",2904,24,90926,13554,0.3592,0.039,75,43,514,126,766,128,488,109,230,70,2073,113,3878,47,86162,7381,0.4285,0.0491,151,62,521,127,970,133,990,157,257,75,2889,132,98020.6383979335
4843012,"Little Elm city, Texas",27966,47,83223,7815,0.3223,0.0205,1904,620,3336,441,6889,630,4046,444,1090,279,17265,609,42889,66,95377,5577,0.3529,0.019,1827,421,4774,759,8724,691,7055,798,4221,653,26601,727,89716.600195667
4826232,"Flower Mound town, Texas",66523,409,120855,4481,0.353,0.0138,983,269,4753,487,11555,700,16456,727,7095,551,40842,566,73252,78,134184,2690,0.3783,0.0107,1583,288,5364,434,11359,620,19353,656,10382,669,48041,569,130284.893799158
4872530,"The Colony city, Texas",37614,36,72263,4220,0.3583,0.0165,1424,318,5815,701,9256,805,5665,638,2540,398,24700,669,42215,38,83094,3487,0.4096,0.0368,1926,474,6081,745,10500,740,8204,826,2776,519,29487,657,77901.4296521332
4813024,"Carrollton city, Texas",122613,132,68811,2297,0.4028,0.012,12169,793,15635,879,23833,1025,21554,1096,7998,597,81189,1041,133438,84,75820,2061,0.4055,0.0082,12142,824,19070,922,24245,1054,24787,932,10363,616,90607,1121,74180.0821415239
4842508,"Lewisville city, Texas",97462,258,58580,1761,0.3814,0.0158,8100,724,13957,927,21140,1046,13726,836,5332,522,62255,1133,104789,456,63056,1571,0.3897,0.012,8864,783,15051,992,21686,943,17296,1047,6518,580,69415,899,63150.7929233766
4869032,"Southlake city, Texas",27006,279,172951,14858,0.458,0.026,330,152,1530,247,3571,354,7208,454,4169,405,16808,386,30840,275,230700,16813,0.4381,0.0361,119,73,1918,685,4068,490,7616,656,5498,509,19219,560,186445.762835284
4816612,"Coppell city, Texas",39551,404,110445,4285,0.4049,0.0174,930,220,2770,373,5686,495,9656,577,6284,448,25326,560,41512,212,123802,5104,0.4134,0.0132,796,238,2257,335,5895,491,11289,670,8295,539,28532,437,119062.63783582
4833020,"Hebron town, Texas",702,250,103250,30831,0.3455,0.0503,48,64,57,58,80,62,162,62,133,95,480,184,239,79,90625,84195,0.4959,0.1274,4,6,62,57,24,10,53,31,36,24,179,68,111306.237100352
4867100,"Shady Shores town, Texas",2676,26,110647,14632,0.3881,0.0393,63,56,354,88,602,132,537,110,247,81,1803,116,2828,23,106719,23634,0.4076,0.0588,80,55,350,99,631,124,610,124,279,70,1950,115,119280.399190728
4858016,"Plano city, Texas",266740,65,82484,1420,0.4423,0.0085,11775,905,23696,1047,46190,1522,60579,1443,35980,1346,178220,1312,284579,67,92121,1486,0.4457,0.0089,13006,937,24714,1035,47392,1349,68901,1784,42768,1442,196781,1365,88919.938605186
4819972,"Denton city, Texas",117895,99,48182,1492,0.4748,0.0147,7964,807,11394,787,21366,1032,15356,929,9154,688,65234,1110,133661,79,56489,1920,0.4575,0.0127,7608,712,15246,1277,25400,1258,19336,981,10455,761,78045,1325,51941.4732781518
4842808,"Lincoln Park town, Texas",273,65,45000,14224,0.3258,0.0631,36,25,85,27,73,34,13,12,3,4,210,53,78,42,42500,10119,0.3626,0.0983,14,12,16,14,24,18,0,13,4,6,58,29,48511.192925093
4817024,"Corral City town, Texas",52,37,47857,31040,0.2653,0.1275,7,12,7,8,23,24,0,13,0,13,37,28,6,12,,,,,0,13,0,13,3,6,0,13,0,13,3,6,51591.1146625817
4804000,"Arlington city, Texas",371267,106,52933,943,0.4357,0.0073,35562,1458,52603,1598,72834,1864,46026,1512,19977,952,227002,1831,392462,129,58502,1425,0.436,0.0066,37553,1714,57997,2098,78907,2000,48606,1617,24255,1291,247318,2036,57063.1772245322
4852356,"North Richland Hills city, Texas",64677,42,63046,2289,0.4042,0.0147,3754,556,10310,667,16295,843,9342,611,3585,389,43286,899,69800,39,68146,2544,0.4162,0.0147,4055,508,10690,651,16499,812,11509,718,4390,351,47143,810,67965.2593145648
4832984,"Heath city, Texas",7396,19,133819,21234,0.4167,0.0429,112,97,915,373,1424,306,1842,342,963,191,5256,246,8410,28,155488,15044,0.4292,0.0549,254,147,774,227,1208,227,2093,319,1352,267,5681,239,144260.429467623
4862828,"Rockwall city, Texas",38958,80,85710,5459,0.3771,0.0223,2249,440,4972,552,8071,622,6590,714,3100,425,24982,455,43157,90,92269,4791,0.3974,0.0191,2141,358,4774,483,9408,743,7662,527,4235,508,28220,433,92397.6521246605
